name,description,expirationDate,couponType,percentOff,percentOffFor,itemName,amountRequiredToQualify,dollarsOff,listingName,groupName
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
Prime Rib Deal,Exclusive Prime Rib Offer,2024-09-30,dollar,,,,15.0,,ACOCA Cafe and Roastery,Prime Rib Pass
Discount on Coffee,Get 10% off your coffee order,2024-12-31,percent,10.0,all coffee,coffee,,,1855 Coffee House,1855 Coffee House
Fish Fry Friday,Enjoy a traditional fish fry,2024-11-15,offers,,,,50.0,,3 Arrows Coffee Company,Fish Fry Pass
20% off Weekend Special,Save 20% on weekend specials,2024-10-01,percent,20.0,weekend specials,weekend meal,,,3 Mile House,Weekend Specials
